index,name,rating,author_title,review_text,review_rating,date,language,negative,neutral,positive
0,Lost Weekend,4.4,Lucas Gahn,"['Café', 'Super', 'Stilvoll', 'einrichten', '--', 'Student', 'Nähe', 'liegen', 'Uni', 'genießen', 'einfach', 'Laptop', 'arbeiten', '--', 'Terrasse', 'Café', 'bieten', '--', 'essen', '--']",5.0,2023-10-09,de,0.07239333540201187,0.1331031620502472,0.7945035099983215
1,Lost Weekend,4.4,Susanne Kosch,"['Halblang', '--', 'Motto', '--', 'Hang', 'Loose', '--', '\n  ', 'zeigen', 'irgendein', 'Ort', 'uninähe', '--', 'selbstgemachen', 'rein', 'pflanzlich', 'Kuch', 'Preis', 'anbieten', '--', '\n  ', 'Preis', '--', '\n  ', 'Preis', 'kuchen', 'Münchner', 'durchschnitt', '--', 'Snack', 'liegen', 'preislich', 'bäckerei-takeaways', '--', '--', 'schauen', '--', 'Vegan', '--', 'Kauf', 'portionen', 'Gericht', '--', 'knapp', '10', 'Euro', 'Pappsatt', '--', 'bezahlen', '--', '\n  ', 'Geschmack', '--', '\n  ', 'rein', 'pflanzlich', 'ernähr', 'schmackhaft', 'Datschi', '--', 'Apfelstreußel', '--', '--', 'köstlich', 'Torn', '--', '\n  ', 'snacks', 'gschmackig', '--', 'Lecker', '--', '--', '\n  ', 'Bonus', '--', '\n  ', 'lieben', '--', 'Bequem', 'Fensterbank', 'sitzen', 'stuhl', 'sitzen', '--', '\n  ', 'Manko', '--', '\n  ', 'teilweise', 'steckenvoll', '--', '   ', 'insofern', 'Konsequenz', '--', 'rumgespeochen', '--', '--', '\n  ', 'Idee', '--', '\n  ', 'klar', '--', 'günstig', '--', 'Geil', '--', 'essens-bonuskart', 'Stammgäste', 'attraktiv', 'Anerkennung', 'stammgästen', '--', '\n  ', 'Cool', '--', 'Schicht', 'mehrfach', 'besetzen', '--', 'angestell', 'gechill', '--', '   ', 'laden', 'voll', '--', 'manchmal', 'dran', 'vorbeigegangen', '--', '\n  ', 'Hintergrund', '--', '\n  ', 'Stück', 'Bananenbrot', 'mindestens', '--', '   ', 'bekanntlich', 'xxl-tortenstücke', 'Browns', '--', '   ', 'Frage', 'Hafermilch', 'anhören', '--', '--', 'glauben', '--', 'echt', 'Milch', 'gesund', '--', '--', 'Mensch', '--', 'Ernährungsstil', 'lebensweisen', 'respektieren', '--', 'komplett', 'pflanzlich', 'Café', 'rechtfertigen', 'Tierisch', '--']",5.0,2023-10-09,de,0.4024321734905243,0.4296444356441498,0.1679234504699707
2,Lost Weekend,4.4,sahar sajedi,"['Wässriger', '--', 'vegan', '--']",2.0,2023-10-04,de,0.8066719770431519,0.14507487416267395,0.04825311154127121
3,Lost Weekend,4.4,Canberk,"['great', 'study', 'day', 'drink', 'good', '.', 'vegan', 'product', '.', 'thank', ',', 'think', 'meet', 'deadline', '.']",5.0,2023-09-28,en,0.02204284816980362,0.11664365231990814,0.86131352186203
5,Lost Weekend,4.4,Ella H,"['überfüllt', 'Studentencafe', '-', 'nett', 'Ambiente', 'schwer', 'Platz', 'finden', 'Kopfhörer', 'laut', '--', 'schmecken', 'typisch', 'München', 'klein', '--']",4.0,2023-09-20,de,0.9324027895927429,0.05165605619549751,0.015941167250275612
6,Lost Weekend,4.4,Roy Shoham,"['great', 'work', 'laptop', 'weekend', 'grab', '.', 'excellent', 'cold', 'brew', '.']",5.0,2023-09-18,en,0.015136221423745155,0.10611198842525482,0.878751814365387
7,Lost Weekend,4.4,cora blank,"['gemütlich', 'Atmosphäre', '-', 'fein', 'Sortiment', 'kuch', 'Snack', '--', 'exzellent', '--', 'Aufpreis', 'verschieden', 'milchalternativ', 'auswähl', '👌', 'Leitung', 'Laden', 'John', 'gerne', 'regelmäßig', 'lost', '\U0001faf6', '📖', '✨']",5.0,2023-09-16,de,0.07461686432361603,0.16709277033805847,0.7582903504371643
8,Lost Weekend,4.4,Maksim Tonyushkin,"['great', 'service', 'drink', '.', '   ', 'time', 'quality', '.', '   ', 'atmosphere', 'nice', 'work', 'people', '.', '   ', 'unfortunately', 'experience', 'phone', 'computer', 'able', 'connect', '-', 'house', 'wifi', ',', 'able', 'catch', 'eduroam', 'signal', 'door', 'computer', '.']",5.0,2023-09-13,en,0.11993805319070816,0.21123269200325012,0.6688292026519775
9,Lost Weekend,4.4,Vincent Ursch,"['laufen', 'Grad', 'n', 'Boomer', 'vorbei', 'sehen', '--', 'jung&hip', '--']",5.0,2023-09-11,de,0.5962392687797546,0.33152297139167786,0.07223782688379288
10,Lost Weekend,4.4,Doron Karaman,"['general', 'nice', '.', '\n\n  ', 'correct', 'follow', 'phrase', '""', '-', 'information', 'customer', 'know', '-', 'cancel', 'bonus', 'card', '""', ':', '\n\n  ', 'owner', 'inform', 'card', 'cancel', 'year', '.', 'student', 'area', 'frequently', 'visit', 'student', ',', 'somewhat', 'unfriendly', '.', '\n\n  ', ',', 'consider', 'circumstance', 'pandemic', ',', 'oversimplified', 'assumption', '.', '\n\n  ', 'especially', 'gastronomic', 'business', 'struggle', 'lose', 'revenue', '.', 'factor', 'ambiance', 'option', 'sit', 'work', 'e.g.', 'university', 'assignment', ',', 'pleasant', '.', '\n\n  ', 'high', 'price', 'stem', 'broad', 'issue', 'patron', 'occupy', 'space', 'extend', 'period', 'consume', 'tap', 'water', '.', '\n\n  ', 'inclusive', 'image', 'start', ',', 'lose', 'weekend', 'great', 'spot', 'different', 'people', 'vast', 'variety', 'event', '.', '\n\n  ', ',', 'critique', 'decision', 'eliminate', 'bonus', 'card', 'valid', '.', 'potential', 'sell', ',', 'merely', 'focus', 'capitalistic', 'incentive', ',', 'offer', 'chance', 'affordable', 'people', ',', 'include', 'student', 'vary', 'budget', '.', '\n\n  ', 'hand', ',', 'choice', 'forego', 'bonus', 'card', 'instead', 'provide', 'student', 'stay', 'work', 'commendable', '.', 'increasingly', ',', 'location', 'display', 'laptop', 'openly', 'long', 'permit', '.']",4.0,2023-09-11,en,0.43226632475852966,0.34259024262428284,0.2251434177160263
11,Lost Weekend,4.4,Sagi W,"['wifi', '.', '\n  ', 'owner', 'aware', 'like', 'care', '.', '\n  ', 'shame', '.', '.']",1.0,2023-09-10,en,0.9577552080154419,0.03290952742099762,0.009335304610431194
12,Lost Weekend,4.4,Silvia Amighini,"['cool', 'spot', '.', 'service', 'ok', '.', 'know', 'suppose', 'bring', 'ready', '.', '.', 'price', 'accord', '""', 'market', '""', '.', 'good', 'vegan', 'sandwich', '.', 'matcha', 'latte', 'ok', '.']",3.0,2023-09-07,en,0.15778252482414246,0.3123965859413147,0.5298208594322205
14,Lost Weekend,4.4,Nick A,"['lively', ',', 'great', 'price', '.', 'perfect', 'location', 'grab', 'work', '.', 'night', 'convert', 'venue', 'spot', 'live', 'music', '.', 'like', 'come', 'visit', '.']",5.0,2023-08-27,en,0.017164869233965874,0.09086821228265762,0.8919668793678284
15,Lost Weekend,4.4,Stanislav Andreev,"['nice', 'spot', 'cocktail', '!', 'warm', 'indoor', ',', 'outdoor', 'seating', 'available', '.', 'excellent', ',', 'aperol', 'decent', '.', ',', 'red', 'wine', 'par', '.']",4.0,2023-08-27,en,0.04775771498680115,0.10631091892719269,0.845931351184845
16,Lost Weekend,4.4,Nicole N.,"['Vegan', 'Super', 'Lecker', '--']",5.0,2023-08-26,de,0.027319205924868584,0.06475936621427536,0.9079214930534363
