index,name,rating,author_title,review_text,review_rating,date,language,negative,neutral,positive
0,Lost Weekend,4.4,Lucas Gahn,das café ist super und sehr stilvoll eingerichtet. es kommen viele studenten von der nähe gelegenen uni her um einen kaffee zu genießen oder einfach mit ihrem laptop zu arbeiten. auch eine kleine terrasse hat das café zu bieten. das essen und der kaffee sind natürlich sehr gut.,5.0,2023-10-09,de,0.07239333540201187,0.1331031620502472,0.7945035099983215
1,Lost Weekend,4.4,Susanne Kosch,"und jetzt mal halblang. könnte auch ein motto hier sein, hang loose.
zeigt mir irgendeinen ort in uninähe, welcher selbstgemachte rein pflanzliche kuchen zu diesem preis anbieten kann!
der preis:
der preis der kuchen ist dabei münchner durchschnitt. die snacks liegen preislich bei den bäckerei-takeaways, nur, dass ich nicht schauen muss, ob es etwas veganes gibt. kaufe ich zwei portionen der gerichte, so bin ich für knapp 10 euro pappsatt. das würde ich sonst auch bezahlen.
der geschmack:
seit ich mich rein pflanzlich ernähre hatte ich keinen so schmackhaften datschi mehr (apfelstreußel), bisher auch köstliche torten.
die snacks sind auch gschmackig (lecker).
bonus:
ich liebe es, dass ich dort bequem auf der fensterbank sitzen kann und nicht auf einem stuhl sitzen muss.
manko:
teilweise steckenvoll,  was ich an sich nicht so mag und insofern konsequenz daraus, dass es sich rumgespeochen hat, ...
ideen:
ja klar, günstig is geil. eine essens-bonuskarte für stammgäste wäre schon mal attraktiv und eine anerkennung für stammgäste.
was auch cool wäre, wenn die schichten mehrfach besetzt wären, weil die angestellten recht gechillt,  der laden aber oft voll ist. bin manchmal deshalb schon dran vorbeigegangen...
hintergrund:
mein stück bananenbrot war mindestens so groß,  wie die bekanntlich xxl-tortenstücke in browns.  dort musste ich mir aber bei der frage nach hafermilch anhören, ""wir glauben, dass unsere echte milch immer noch gesund und das beste ist"". wenn menschen, ernährungsstile und lebensweisen respektiert werden, warum soll sich dann das komplett pflanzliche café rechtfertigen und nicht das tierische?",5.0,2023-10-09,de,0.4024321734905243,0.4296444356441498,0.1679234504699707
2,Lost Weekend,4.4,sahar sajedi,wässriger kaffee. nichts für nicht veganer.,2.0,2023-10-04,de,0.8066719770431519,0.14507487416267395,0.04825311154127121
3,Lost Weekend,4.4,Canberk,"great place to study all day and drink some good coffee. also have many vegan products. thanks to this place, i think i can meet my deadlines.",5.0,2023-09-28,en,0.02204284816980362,0.11664365231990814,0.86131352186203
5,Lost Weekend,4.4,Ella H,überfülltes studentencafe. nettes ambiente aber schwer einen platz zu finden und selbst mit kopfhörern noch laut. kaffee schmeckt ist aber typisch für münchen sehr klein.,4.0,2023-09-20,de,0.9324027895927429,0.05165605619549751,0.015941167250275612
6,Lost Weekend,4.4,Roy Shoham,great place to work on your laptop over the weekend or just grab a coffee. had an excellent cold brew.,5.0,2023-09-18,en,0.015136221423745155,0.10611198842525482,0.878751814365387
7,Lost Weekend,4.4,cora blank,"gemütliche atmosphäre, feines sortiment an kuchen und snacks, exzellenter kaffee. man kann ohne aufpreis zwischen verschiedenen milchalternativen auswählen 👌 unter der leitung des ladens von john gehen wir sehr gerne wieder und regelmäßig ins lost 🫶📖✨",5.0,2023-09-16,de,0.07461686432361603,0.16709277033805847,0.7582903504371643
8,Lost Weekend,4.4,Maksim Tonyushkin,"great service and even better drinks.  they take their time with each order and it shows in the quality.  the atmosphere is nice for working as most people are doing here.  unfortunately in my experience neither my phone nor computer were able to connect to the in-house wifi, but i was able to catch the eduroam signal from next door on my computer.",5.0,2023-09-13,en,0.11993805319070816,0.21123269200325012,0.6688292026519775
9,Lost Weekend,4.4,Vincent Ursch,"lief grad n boomer vorbei und meinte das sieht ""jung&hip"" aus",5.0,2023-09-11,de,0.5962392687797546,0.33152297139167786,0.07223782688379288
10,Lost Weekend,4.4,Doron Karaman,"in general a very nice coffee place.

i correct myself regarding the following former phrase ""but somehow - without any information to customers that i know of - cancelled their bonus coffee card"":

the owner informed me that the card had been canceled for four years now. given that this is in a student area and frequently visited by students, it seems somewhat unfriendly to them.

however, considering the circumstances of the pandemic, this might be an oversimplified assumption.

especially gastronomic businesses struggled and still have to make up for lost revenue. if you factor in the ambiance and the option to sit and work e.g. on university assignments, it's quite a pleasant place.

the higher prices might stem from the broader issue of patrons occupying space for extended periods while only consuming tap water.

having a more inclusive image from the start, the lost weekend always has been a great spot for different people with a vast variety of events.

nevertheless, critiquing the decision to eliminate the bonus card is valid. beyond the potential to sell more coffee, and without merely focusing on capitalistic incentives, it offers a chance to make coffee more affordable for people, including students with varying budgets.

on the other hand, the choice to forego a bonus card and instead provide students with a place to stay and work is commendable. increasingly, there are locations where displaying a laptop openly is no longer permitted.",4.0,2023-09-11,en,0.43226632475852966,0.34259024262428284,0.2251434177160263
