index,name,rating,author_title,review_text,review_rating,date,language,negative,neutral,positive,bigrams_lemmatized,trigrams_lemmatized
0,Lost Weekend,4.4,Lucas Gahn,"['Café', 'Super', 'Stilvoll', 'einrichten', ' ', 'Student', 'Nähe', 'gelegen', 'Uni', 'genießen', 'einfach', 'Laptop', 'arbeiten', ' ', 'Terrasse', 'Café', 'bieten', ' ', 'essen']",5.0,2023-10-09,de,0.0723933354020118,0.1331031620502472,0.7945035099983215,"['Café', 'Super', 'Stilvoll', 'Student', 'Nähe', 'Uni', 'einfach', 'Laptop', 'Terrasse', 'Café']","['Café', 'Super', 'Stilvoll', 'Student', 'Nähe', 'Uni', 'einfach', 'Laptop', 'Terrasse', 'Café']"
1,Lost Weekend,4.4,Susanne Kosch,"['Halblang', ' ', 'Motto', ' ', 'Hang', 'Loose', '    ', 'zeigen', 'irgendein', 'Ort', 'uninähe', ' ', 'selbstgemacht', 'rein', 'pflanzlich', 'kuch', 'Preis', 'anbieten', '    ', 'Preis', '    ', 'Preis', 'kuchen', 'Münchner', 'durchschnitt', ' ', 'snacks', 'liegen', 'preislich', 'bäckereitakeaways', '  ', 'schauen', ' ', 'Vegan', ' ', 'Kauf', 'portionen', 'gericht', ' ', 'knapp', '10', 'Euro', 'Pappsatt', ' ', 'bezahlen', '    ', 'Geschmack', '    ', 'rein', 'pflanzlich', 'ernähr', 'schmackhaft', 'datschi', ' ', 'Apfelstreußel', '  ', 'köstlich', 'torn', '    ', 'snacks', 'gschmackig', ' ', 'Lecker', '     ', 'Bonus', '    ', 'lieben', ' ', 'Bequem', 'Fensterbank', 'sitzen', 'stuhl', 'sitzen', '    ', 'Manko', '    ', 'teilweise', 'steckenvoll', '    ', 'insofern', 'Konsequenz', ' ', 'rumgespeochen', '     ', 'Idee', '    ', 'klar', ' ', 'günstig', ' ', 'Geil', ' ', 'essensbonuskart', 'Stammgäste', 'attraktiv', 'Anerkennung', 'stammgästen', '    ', 'Cool', ' ', 'Schicht', 'mehrfach', 'besetzen', ' ', 'angestellen', 'gechillen', '    ', 'laden', 'voll', ' ', 'manchmal', 'dran', 'vorbeigegangen', '    ', 'Hintergrund', '    ', 'Stück', 'Bananenbrot', 'mindestens', '    ', 'bekanntlich', 'xxltortenstücke', 'Browns', '    ', 'Frage', 'Hafermilch', 'anhören', '  ', 'glauben', ' ', 'echt', 'Milch', 'gesund', '  ', 'Mensch', ' ', 'Ernährungsstile', 'lebensweisen', 'respektieren', ' ', 'komplett', 'pflanzlich', 'Café', 'rechtfertigen', 'tierisch']",5.0,2023-10-09,de,0.4024321734905243,0.4296444356441498,0.1679234504699707,"['Halblang', 'Motto', 'Hang', 'Loose', 'Ort', 'uninähe', 'rein_pflanzlich', 'Kuch', 'Preis', '_', 'Preis', '_', 'Preis', 'Münchner', 'Durchschnitt', '_', 'Snacks', 'preislich', 'Bäckereitakeaway', 'Vegan', 'Kauf', 'Gericht', 'knapp', 'Euro', 'Pappsatt', 'Geschmack', 'rein_pflanzlich', 'ernähr', 'schmackhaft', 'datschi', 'Apfelstreußel', 'köstlich', 'Torn', 'Snacks', 'gschmackig', 'Lecker', '_', 'Bonus', '_', 'Bequem', 'Fensterbank', 'stuhl', 'Manko', 'teilweise', 'steckenvoll', 'insofern', 'Konsequenz', 'Idee', '_', 'klar', 'günstig', 'Geil', 'essensbonuskart', 'Stammgast', 'attraktiv', 'Anerkennung', 'Cool', 'Schicht', 'mehrfach', 'angestell', 'Laden_voll', 'manchmal', 'dran', 'vorbeigegang', 'Hintergrund', 'Stück', 'Bananenbrot', 'mindestens', 'bekanntlich', 'xxltortenstück', 'Browns', '_', 'Frage', 'Hafermilch', 'echt', 'Milch', 'gesund', 'Mensch', 'Ernährungsstil', 'komplett', 'pflanzlich', 'Café', 'Tierisch']","['Halblang', 'Motto', 'Hang', 'Loose', 'Ort', 'uninähe', 'rein_pflanzlich', 'Kuch', 'Preis', '_', 'Preis', '_', 'Preis', 'Münchner', 'Durchschnitt', '_', 'Snacks', 'preislich', 'Bäckereitakeaway', 'Vegan', 'Kauf', 'Gericht', 'knapp', 'Euro', 'Pappsatt', '_', 'Geschmack', '_', 'rein_pflanzlich', 'ernähr', 'schmackhaft', 'datschi', 'Apfelstreußel', 'köstlich', 'Torn', 'Snacks', 'gschmackig', 'Lecker', '_', 'Bonus', '_', 'Bequem', 'Fensterbank', 'stuhl', 'Manko', 'teilweise', 'steckenvoll', 'insofern', 'Konsequenz', 'Idee', '_', 'klar', 'günstig', 'Geil', 'essensbonuskart', 'Stammgast', 'attraktiv', 'Anerkennung', 'Cool', 'Schicht', 'mehrfach', 'angestell', 'Laden_voll', 'manchmal', 'dran', 'vorbeigegang', 'Hintergrund', 'Stück', 'Bananenbrot', 'mindestens', 'bekanntlich', 'xxltortenstück', 'Browns', '_', 'Frage', 'Hafermilch', 'echt', 'Milch', 'gesund', 'Mensch', 'Ernährungsstil', 'komplett', 'pflanzlich', 'Café', 'Tierisch']"
2,Lost Weekend,4.4,sahar sajedi,"['Wässriger', ' ', 'veganer']",2.0,2023-10-04,de,0.8066719770431519,0.1450748741626739,0.0482531115412712,"['Wässriger', 'vegan']","['Wässriger', 'vegan']"
3,Lost Weekend,4.4,Canberk,"['great', 'study', 'day', 'drink', 'good', ' ', 'vegan', 'product', ' ', 'thank', ' ', 'think', 'meet', 'deadline']",5.0,2023-09-28,en,0.0220428481698036,0.1166436523199081,0.86131352186203,"['great_study', 'day', 'vegan', 'product', 'deadline']","['great_study', 'day', 'vegan', 'product', '_', 'meet', 'deadline']"
5,Lost Weekend,4.4,Ella H,"['überfüllt', 'Studentencafe', ' ', 'nettes', 'Ambiente', 'schwer', 'Platz', 'finden', 'Kopfhörer', 'laut', ' ', 'schmecken', 'typisch', 'klein']",4.0,2023-09-20,de,0.9324027895927428,0.0516560561954975,0.0159411672502756,"['überfüllt', 'Studentencafe', 'nettes_Ambiente', 'schwer', 'Kopfhörer', 'schmecken', 'typisch', 'klein']","['überfüllt', 'Studentencafe', 'nettes_Ambiente', 'schwer', 'Kopfhörer', 'schmecken', 'typisch', 'klein']"
6,Lost Weekend,4.4,Roy Shoham,"['great', 'work', 'laptop', 'grab', ' ', 'excellent', 'cold', 'brew']",5.0,2023-09-18,en,0.0151362214237451,0.1061119884252548,0.878751814365387,"['laptop', 'excellent', 'cold_brew']","['laptop', 'excellent', 'cold_brew']"
7,Lost Weekend,4.4,cora blank,"['gemütlich', 'Atmosphäre', ' ', 'fein', 'Sortiment', 'kuch', 'Snack', ' ', 'exzellent', ' ', 'Aufpreis', 'verschieden', 'milchalternativ', 'auswähl', '👌', 'Leitung', 'Laden', 'John', 'gerne', 'regelmäßig', '\\U0001faf6', '📖', '✨']",5.0,2023-09-16,de,0.074616864323616,0.1670927703380584,0.7582903504371643,"['gemütlich_Atmosphär', 'Sortiment', 'Kuch', 'Snack', 'exzellent', 'Aufpreis', 'verschieden', 'milchalternativ', 'auswähl', 'Leitung', 'Laden', 'John', 'gerne', 'regelmäßig', '\\U0001faf6', '📖', '✨']","['gemütlich_Atmosphär', 'Sortiment', 'Kuch', 'Snack', 'exzellent', 'Aufpreis', 'verschieden', 'milchalternativ', 'auswähl', 'Leitung', 'Laden', 'John', 'gerne', 'regelmäßig', '\\U0001faf6', '📖', '✨']"
8,Lost Weekend,4.4,Maksim Tonyushkin,"['great', 'service', 'drink', '    ', 'time', 'quality', '    ', 'atmosphere', 'nice', 'work', 'people', '    ', 'unfortunately', 'experience', 'phone', 'computer', 'able', 'connect', ' ', 'house', 'wifi', ' ', 'able', 'catch', 'eduroam', 'signal', 'door', 'computer']",5.0,2023-09-13,en,0.1199380531907081,0.2112326920032501,0.6688292026519775,"['time', 'quality', 'atmosphere_nice', 'work', 'people', 'unfortunately', 'phone', 'computer', 'able', 'house', 'wifi', 'able', 'catch', 'eduroam', 'signal', 'door', 'computer']","['time', 'quality', 'atmosphere_nice', 'work', 'people', 'unfortunately', 'phone', 'computer', 'able', 'house', 'wifi', 'able', 'catch', 'eduroam', 'signal', 'door', 'computer']"
9,Lost Weekend,4.4,Vincent Ursch,"['laufen', 'Grad', 'n', 'Boomer', 'vorbei', 'sehen', ' ', 'junghip']",5.0,2023-09-11,de,0.5962392687797546,0.3315229713916778,0.0722378268837928,"['Grad', 'Boomer', 'vorbei', 'Junghip']","['Grad', 'Boomer', 'vorbei', 'Junghip']"
10,Lost Weekend,4.4,Doron Karaman,"['general', 'nice', '     ', 'correct', 'follow', 'phrase', '  ', 'information', 'customer', 'know', ' ', 'cancel', 'bonus', 'card', '      ', 'owner', 'inform', 'card', 'cancel', 'year', ' ', 'student', 'area', 'frequently', 'visit', 'student', ' ', 'somewhat', 'unfriendly', '      ', 'consider', 'circumstance', 'pandemic', ' ', 'oversimplified', 'assumption', '     ', 'especially', 'gastronomic', 'business', 'struggle', 'lose', 'revenue', ' ', 'factor', 'ambiance', 'option', 'sit', 'work', 'eg', 'university', 'assignment', ' ', 'pleasant', '     ', 'high', 'price', 'stem', 'broad', 'issue', 'patron', 'occupy', 'space', 'extend', 'period', 'consume', 'tap', 'water', '     ', 'inclusive', 'image', 'start', ' ', 'lose', 'great', 'spot', 'different', 'people', 'vast', 'variety', 'event', '      ', 'critique', 'decision', 'eliminate', 'bonus', 'card', 'valid', ' ', 'potential', 'sell', ' ', 'merely', 'focus', 'capitalistic', 'incentive', ' ', 'offer', 'chance', 'affordable', 'people', ' ', 'include', 'student', 'vary', 'budget', '     ', 'hand', ' ', 'choice', 'forego', 'bonus', 'card', 'instead', 'provide', 'student', 'stay', 'work', 'commendable', ' ', 'increasingly', ' ', 'location', 'display', 'laptop', 'openly', 'long', 'permit']",4.0,2023-09-11,en,0.4322663247585296,0.3425902426242828,0.2251434177160263,"['correct', 'follow', 'phrase', 'information', 'customer', 'owner', 'inform', 'card', 'cancel', 'year', 'student', 'area', 'student', 'somewhat', 'unfriendly', 'circumstance', 'pandemic', 'oversimplified', 'assumption', '_', 'especially', 'gastronomic', 'business', 'struggle', 'revenue', 'factor', 'ambiance', 'option', 'sit_work', 'eg', 'university', 'assignment', 'pleasant', 'high', 'price', 'stem', 'broad', 'issue', 'patron', 'occupy', 'space', 'extend', 'period', 'consume', 'tap_water', 'inclusive', 'image', 'start', 'great_spot', 'different', 'people', 'vast', 'variety', 'event', 'critique', 'decision', 'valid', 'potential', 'sell', 'merely', 'capitalistic', 'incentive', 'offer', 'chance', 'affordable', 'people', 'student', 'vary', 'budget', 'hand', 'choice', 'forego', 'bonus_card', 'instead', 'student', 'work', 'commendable', 'increasingly', 'location', 'display', 'laptop', 'openly', 'long', 'permit']","['correct', 'follow', 'phrase', 'information', 'customer', 'owner', 'inform', 'card', 'cancel', 'year', 'student', 'area', 'student', 'somewhat', 'unfriendly', 'circumstance', 'pandemic', 'oversimplified', 'assumption', '_', 'especially', 'gastronomic', 'business', 'struggle', 'revenue', 'factor', 'ambiance', 'option', 'sit_work', 'eg', 'university', 'assignment', 'pleasant', 'high', 'price', 'stem', 'broad', 'issue', 'patron', 'occupy', 'space', 'extend', 'period', 'consume', 'tap_water', 'inclusive', 'image', 'start', 'great_spot', 'different', 'people', 'vast', 'variety', 'event', 'critique', 'decision', 'valid', 'potential', 'sell', 'merely', 'capitalistic', 'incentive', 'offer', 'chance', 'affordable', 'people', 'student', 'vary', 'budget', 'hand', 'choice', 'forego', 'bonus_card', 'instead', 'student', 'work', 'commendable', 'increasingly', 'location', 'display', 'laptop', 'openly', 'long', 'permit']"
